Number of Gallons Fueled,Number of Customers Served,Number of Small Cars,Number of Sedans,Number of Motorbikes,Number of Trucks,Number of Customers Lost,Profit,Loss
1141,155,60,22,73,0,71,1344.00,2404.92
1181,137,101,62,129,0,139,2726.40,4590.25
1200,147,151,100,188,0,183,4146.00,6358.69
1180,160,196,127,276,0,249,5541.60,8627.15
1219,147,242,163,341,0,312,6973.20,10881.25
1171,154,286,191,423,0,386,8353.20,13246.12
1194,153,324,226,503,0,462,9760.80,15740.23
1182,141,378,257,559,0,528,11137.20,18061.76
1195,148,428,291,623,0,568,12555.60,19770.98
1150,155,485,316,696,0,640,13912.80,22117.58